import time: self [us] | cumulative | imported package
import time:        93 |         93 |               _compression
import time:       129 |        129 |               _bz2
import time:       128 |        349 |             bz2
import time:       176 |        176 |               _lzma
import time:       116 |        291 |             lzma
import time:       275 |        948 |           shutil
import time:        25 |         25 |             math
import time:        15 |         15 |               _bisect
import time:        76 |         90 |             bisect
import time:        16 |         16 |             _random
import time:        17 |         17 |             _sha512
import time:       209 |        356 |           random
import time:       138 |        138 |             _weakrefset
import time:       303 |        441 |           weakref
import time:       211 |       2093 |         tempfile
import time:       940 |        940 |           _hashlib
import time:        31 |         31 |           _blake2
import time:       150 |       1120 |         hashlib
import time:       237 |       4375 |       jinja2.bccache
import time:       664 |        664 |               _ast
import time:       489 |       1152 |             ast
import time:        69 |         69 |                 _opcode
import time:       125 |        193 |               opcode
import time:       217 |        410 |             dis
import time:        82 |         82 |               importlib
import time:        92 |        173 |             importlib.machinery
import time:        73 |         73 |                 token
import time:       448 |        520 |               tokenize
import time:        76 |        595 |             linecache
import time:       687 |       3016 |           inspect
import time:        88 |         88 |                   _json
import time:       195 |        283 |                 json.scanner
import time:       206 |        488 |               json.decoder
import time:       202 |        202 |               json.encoder
import time:       124 |        814 |             json
import time:       282 |        282 |             threading
import time:        66 |         66 |               urllib
import time:       530 |        530 |               ipaddress
import time:       532 |       1127 |             urllib.parse
import time:      1038 |       3260 |           jinja2.utils
import time:       860 |       7135 |         jinja2.nodes
import time:       184 |        184 |           jinja2.exceptions
import time:        74 |         74 |             jinja2.visitor
import time:       205 |        279 |           jinja2.idtracking
import time:        68 |         68 |           jinja2.optimizer
import time:       654 |       1183 |         jinja2.compiler
import time:       172 |        172 |             jinja2.async_utils
import time:       461 |        461 |             jinja2.runtime
import time:       687 |       1319 |           jinja2.filters
import time:       159 |        159 |             numbers
import time:       123 |        281 |           jinja2.tests
import time:       103 |       1702 |         jinja2.defaults
import time:       504 |        504 |           jinja2._identifier
import time:      1307 |       1810 |         jinja2.lexer
import time:       247 |        247 |         jinja2.parser
import time:       847 |      12922 |       jinja2.environment
import time:        55 |         55 |           importlib._abc
import time:       114 |        169 |         importlib.util
import time:       304 |        472 |       jinja2.loaders
import time:       141 |      17909 |     jinja2
import time:       320 |      23008 |   sphinx_jinja2_compat
import time:        51 |         51 |     apport_python_hook
import time:        78 |        129 |   sitecustomize
import time:        35 |         35 |   usercustomize
import time:       734 |      25095 | site
import time:        50 |         50 |         numpy._utils._convertions
import time:        65 |        114 |       numpy._utils
import time:       137 |        251 |     numpy._globals
import time:        97 |         97 |     numpy.exceptions
import time:        43 |         43 |     numpy.version
import time:        14 |         14 |       numpy._distributor_init_local
import time:        57 |         70 |     numpy._distributor_init
import time:        59 |         59 |               numpy._utils._inspect
import time:        89 |         89 |                   _datetime
import time:       951 |       1039 |                 datetime
import time:       218 |        218 |                 numpy.core._exceptions
import time:       101 |        101 |                 numpy.dtypes
import time:     27969 |      29326 |               numpy.core._multiarray_umath
import time:       225 |      29609 |             numpy.core.overrides
import time:       365 |      29973 |           numpy.core.multiarray
import time:       155 |        155 |           numpy.core.umath
import time:       140 |        140 |             numpy.core._string_helpers
import time:        80 |         80 |                       _winapi
import time:        67 |         67 |                       nt
import time:        62 |         62 |                       nt
import time:        60 |         60 |                       nt
import time:        59 |         59 |                       nt
import time:       244 |        569 |                     ntpath
import time:       669 |       1238 |                   pathlib
import time:        78 |         78 |                   pickle5
import time:       197 |       1512 |                 numpy.compat.py3k
import time:       131 |       1643 |               numpy.compat
import time:       127 |        127 |               numpy.core._dtype
import time:       275 |       2044 |             numpy.core._type_aliases
import time:       370 |       2553 |           numpy.core.numerictypes
import time:       148 |        148 |                       _contextvars
import time:       127 |        274 |                     contextvars
import time:       172 |        446 |                   numpy.core._ufunc_config
import time:       185 |        630 |                 numpy.core._methods
import time:      1220 |       1850 |               numpy.core.fromnumeric
import time:       265 |       2114 |             numpy.core.shape_base
import time:       407 |        407 |             numpy.core.arrayprint
import time:       110 |        110 |             numpy.core._asarray
import time:       877 |       3507 |           numpy.core.numeric
import time:       801 |        801 |           numpy.core.defchararray
import time:       232 |        232 |           numpy.core.records
import time:       143 |        143 |           numpy.core.memmap
import time:       188 |        188 |           numpy.core.function_base
import time:       123 |        123 |           numpy.core._machar
import time:       262 |        262 |           numpy.core.getlimits
import time:       230 |        230 |           numpy.core.einsumfunc
import time:       232 |        232 |             numpy.core._multiarray_tests
import time:      1244 |       1475 |           numpy.core._add_newdocs
import time:       349 |        349 |           numpy.core._add_newdocs_scalars
import time:       100 |        100 |           numpy.core._dtype_ctypes
import time:       389 |        389 |               _ctypes
import time:       190 |        190 |               ctypes._endian
import time:       741 |       1319 |             ctypes
import time:       647 |       1965 |           numpy.core._internal
import time:       164 |        164 |           numpy._pytesttester
import time:       924 |      43137 |         numpy.core
import time:        38 |      43174 |       numpy.core._multiarray_umath
import time:       260 |      43434 |     numpy.__config__
import time:       228 |        228 |       numpy.lib.mixins
import time:       120 |        120 |           numpy.lib.ufunclike
import time:       299 |        419 |         numpy.lib.type_check
import time:       273 |        691 |       numpy.lib.scimath
import time:       172 |        172 |                   numpy.lib.stride_tricks
import time:       330 |        501 |                 numpy.lib.twodim_base
import time:       284 |        284 |                 numpy.linalg._umath_linalg
import time:       257 |        257 |                   numpy._typing._nested_sequence
import time:        90 |         90 |                   numpy._typing._nbit
import time:       715 |        715 |                   numpy._typing._char_codes
import time:       301 |        301 |                   numpy._typing._scalars
import time:       113 |        113 |                   numpy._typing._shape
import time:      1095 |       1095 |                   numpy._typing._dtype_like
import time:      1491 |       1491 |                   numpy._typing._array_like
import time:       596 |       4655 |                 numpy._typing
import time:      1216 |       6655 |               numpy.linalg.linalg
import time:       167 |       6822 |             numpy.linalg
import time:       318 |       7139 |           numpy.matrixlib.defmatrix
import time:       164 |       7302 |         numpy.matrixlib
import time:       208 |        208 |           numpy.lib.histograms
import time:       971 |       1178 |         numpy.lib.function_base
import time:       694 |       9173 |       numpy.lib.index_tricks
import time:       320 |        320 |       numpy.lib.nanfunctions
import time:       303 |        303 |       numpy.lib.shape_base
import time:       502 |        502 |       numpy.lib.polynomial
import time:       923 |        923 |         textwrap
import time:       681 |        681 |             signal
import time:        45 |         45 |             fcntl
import time:        84 |         84 |             msvcrt
import time:        23 |         23 |             _posixsubprocess
import time:        41 |         41 |             select
import time:       408 |        408 |             selectors
import time:      1120 |       2399 |           subprocess
import time:      1789 |       4188 |         platform
import time:       614 |       5723 |       numpy.lib.utils
import time:       236 |        236 |       numpy.lib.arraysetops
import time:       177 |        177 |         numpy.lib.format
import time:       183 |        183 |         numpy.lib._datasource
import time:       325 |        325 |         numpy.lib._iotools
import time:       538 |       1221 |       numpy.lib.npyio
import time:       112 |        112 |       numpy.lib.arrayterator
import time:       170 |        170 |       numpy.lib.arraypad
import time:       108 |        108 |       numpy.lib._version
import time:       767 |      19548 |     numpy.lib
import time:       155 |        155 |         numpy.fft._pocketfft_internal
import time:       471 |        625 |       numpy.fft._pocketfft
import time:       137 |        137 |       numpy.fft.helper
import time:       220 |        982 |     numpy.fft
import time:       180 |        180 |         numpy.polynomial.polyutils
import time:       335 |        335 |         numpy.polynomial._polybase
import time:       389 |        904 |       numpy.polynomial.polynomial
import time:       308 |        308 |       numpy.polynomial.chebyshev
import time:       270 |        270 |       numpy.polynomial.legendre
import time:       225 |        225 |       numpy.polynomial.hermite
import time:       236 |        236 |       numpy.polynomial.hermite_e
import time:       236 |        236 |       numpy.polynomial.laguerre
import time:       351 |       2528 |     numpy.polynomial
import time:        90 |         90 |               backports_abc
import time:       544 |        634 |             numpy.random._common
import time:        60 |         60 |                 binascii
import time:       243 |        302 |               base64
import time:       180 |        180 |               hmac
import time:       211 |        693 |             secrets
import time:       510 |       1836 |           numpy.random.bit_generator
import time:       197 |        197 |           numpy.random._bounded_integers
import time:       170 |        170 |           numpy.random._mt19937
import time:       855 |       3057 |         numpy.random.mtrand
import time:       174 |        174 |         numpy.random._philox
import time:       181 |        181 |         numpy.random._pcg64
import time:       155 |        155 |         numpy.random._sfc64
import time:       589 |        589 |         numpy.random._generator
import time:       369 |       4521 |       numpy.random._pickle
import time:       197 |       4717 |     numpy.random
import time:       420 |        420 |     numpy.ctypeslib
import time:      2260 |       2260 |       numpy.ma.core
import time:       838 |        838 |       numpy.ma.extras
import time:       279 |       3376 |     numpy.ma
import time:      1911 |      77371 |   numpy
import time:       256 |        256 |       multiprocessing.process
import time:       151 |        151 |           _socket
import time:        82 |         82 |           array
import time:      1459 |       1691 |         socket
import time:       248 |       1939 |       multiprocessing.reduction
import time:       481 |       2674 |     multiprocessing.context
import time:       244 |       2917 |   multiprocessing
import time:        47 |         47 |         _csv
import time:       344 |        391 |       csv
import time:       453 |        453 |       email
import time:      1772 |       1772 |       zipfile
import time:       160 |        160 |           uu
import time:       187 |        187 |           quopri
import time:       700 |        700 |                 locale
import time:       477 |       1176 |               calendar
import time:       221 |       1397 |             email._parseaddr
import time:        96 |         96 |               email.base64mime
import time:       182 |        182 |               email.quoprimime
import time:       375 |        375 |               email.errors
import time:       112 |        112 |               email.encoders
import time:       309 |       1073 |             email.charset
import time:      7313 |       9781 |           email.utils
import time:       519 |        519 |             email.header
import time:       256 |        775 |           email._policybase
import time:       204 |        204 |           email._encoded_words
import time:        79 |         79 |           email.iterators
import time:       547 |      11731 |         email.message
import time:        62 |         62 |           importlib.metadata._functools
import time:       108 |        170 |         importlib.metadata._text
import time:       234 |      12133 |       importlib.metadata._adapters
import time:       212 |        212 |       importlib.metadata._meta
import time:       185 |        185 |       importlib.metadata._collections
import time:        80 |         80 |       importlib.metadata._itertools
import time:       377 |        377 |       importlib.abc
import time:      1146 |      16744 |     importlib.metadata
import time:       185 |      16928 |   cudaq._packages
import time:        75 |         75 |   cudaq._metadata
import time:        47 |         47 |   cudaq.display
import time:        92 |         92 |   cudaq.display.display_trace
import time:        44 |         44 |     cudaq.kernel
import time:        30 |         30 |           cudaq.mlir
import time:       195 |        195 |             traceback
import time:        24 |         24 |             atexit
import time:       947 |       1164 |           logging
import time:     37949 |      37949 |           cudaq.mlir._mlir_libs._mlir
import time:      1336 |      40478 |         cudaq.mlir._mlir_libs
import time:       195 |        195 |         cudaq.mlir.ir
import time:    275998 |     316670 |       cudaq.mlir._mlir_libs._quakeDialects
import time:        47 |         47 |                   org
import time:        41 |         87 |                 org.python
import time:        10 |         97 |               org.python.core
import time:       150 |        247 |             copy
import time:       409 |        655 |           dataclasses
import time:       333 |        988 |         cudaq.handlers.photonics_kernel
import time:       195 |       1182 |       cudaq.handlers.target_handler
import time:        93 |     317943 |     cudaq.handlers
import time:        67 |         67 |     cudaq.mlir.dialects
import time:       145 |        145 |         cudaq.mlir.dialects._ods_common
import time:        21 |         21 |         cudaq.mlir.dialects._cc_ops_ext
import time:      1760 |       1925 |       cudaq.mlir.dialects._cc_ops_gen
import time:       136 |       2060 |     cudaq.mlir.dialects.cc
import time:       214 |        214 |         cudaq.mlir.dialects._func_ops_ext
import time:       411 |        624 |       cudaq.mlir.dialects._func_ops_gen
import time:        90 |        714 |     cudaq.mlir.dialects.func
import time:        18 |         18 |             cudaq.mlir.dialects._quake_ops_ext
import time:      2194 |       2211 |           cudaq.mlir.dialects._quake_ops_gen
import time:        77 |       2288 |         cudaq.mlir.dialects.quake
import time:       103 |       2390 |       cudaq.kernel.utils
import time:       142 |       2531 |     cudaq.kernel.analysis
import time:       122 |        122 |       graphlib
import time:       136 |        136 |           cudaq.mlir.dialects._arith_ops_ext
import time:      2110 |       2245 |         cudaq.mlir.dialects._arith_ops_gen
import time:        77 |       2321 |       cudaq.mlir.dialects.arith
import time:        26 |         26 |           cudaq.mlir.dialects._complex_ops_ext
import time:      2056 |       2081 |         cudaq.mlir.dialects._complex_ops_gen
import time:       106 |       2186 |       cudaq.mlir.dialects.complex
import time:        20 |         20 |           cudaq.mlir.dialects._math_ops_ext
import time:      1445 |       1464 |         cudaq.mlir.dialects._math_ops_gen
import time:       118 |       1582 |       cudaq.mlir.dialects.math
import time:        64 |         64 |       cudaq.mlir.passmanager
import time:       191 |        191 |           _uuid
import time:       246 |        436 |         uuid
import time:        96 |        531 |       cudaq.kernel.captured_data
import time:       468 |       7272 |     cudaq.kernel.ast_bridge
import time:       215 |     330843 |   cudaq.kernel.kernel_decorator
import time:       560 |        560 |       cudaq.mlir._mlir_libs._mlirExecutionEngine
import time:        94 |        654 |     cudaq.mlir.execution_engine
import time:        54 |         54 |       cudaq.kernel.common
import time:        97 |        150 |     cudaq.kernel.common.fermionic_swap
import time:        48 |         48 |     cudaq.kernel.common.givens
import time:        78 |         78 |     cudaq.kernel.quake_value
import time:      3542 |       4470 |   cudaq.kernel.kernel_builder
import time:        46 |         46 |     cudaq.runtime
import time:        57 |         57 |     cudaq.runtime.utils
import time:       128 |        231 |   cudaq.runtime.sample
import time:        57 |         57 |   cudaq.runtime.observe
import time:        50 |         50 |   cudaq.runtime.state
import time:        53 |         53 |   cudaq.kernel.register_op
import time:        47 |         47 |   qutip
import time:        32 |         32 |     cudaq.visualization
import time:        75 |        107 |   cudaq.visualization.bloch_visualize_err
import time:        62 |         62 |     cudaq.operators.boson
import time:        48 |         48 |     cudaq.operators.fermion
import time:        49 |         49 |     cudaq.operators.spin
import time:       707 |        707 |         numpy._typing._add_docstring
import time:        77 |        783 |       numpy.typing
import time:        90 |         90 |         cudaq.operators.helpers
import time:       117 |        206 |       cudaq.operators.custom.custom_op
import time:        82 |         82 |           cudaq.operators.scalar.scalar_op
import time:        57 |        139 |         cudaq.operators.scalar
import time:       177 |        315 |       cudaq.operators.custom.backwards_compatibility
import time:       117 |       1419 |     cudaq.operators.custom
import time:       104 |        104 |     cudaq.operators.definitions
import time:       148 |        148 |     cudaq.operators.manipulation
import time:        62 |         62 |     cudaq.operators.expressions
import time:       153 |       2041 |   cudaq.operators
import time:       114 |        114 |       cudaq.dynamics.helpers
import time:        81 |         81 |       cudaq.dynamics.schedule
import time:        75 |        268 |     cudaq.dynamics
import time:         9 |        277 |   cudaq.dynamics.schedule
import time:       149 |        149 |     cudaq.dynamics.integrator
import time:       120 |        269 |   cudaq.dynamics.evolution
import time:        34 |         34 |                   cuquantum.bindings._internal
import time:        47 |         47 |                     backports_abc
import time:       472 |        519 |                   cuquantum.bindings._utils
import time:       163 |        715 |                 cuquantum.bindings._internal.cudensitymat
import time:       103 |        818 |               cuquantum.bindings.cycudensitymat
import time:        43 |         43 |               backports_abc
import time:       168 |        168 |                 cupy._environment
import time:        46 |         46 |                 cupy._version
import time:       298 |        298 |                   email.feedparser
import time:       115 |        412 |                 email.parser
import time:        79 |         79 |                                   cupy_backends
import time:       105 |        183 |                                 cupy_backends.cuda
import time:        91 |        274 |                               cupy_backends.cuda.api
import time:        92 |         92 |                               cupy_backends.cuda._softlink
import time:       103 |        103 |                               cupy_backends.cuda.api._runtime_enum
import time:       338 |        806 |                             cupy_backends.cuda.api.runtime
import time:        79 |         79 |                             cupy._core.syncdetect
import time:       127 |        127 |                             cupy._util
import time:       197 |       1207 |                           cupy.cuda.device
import time:       111 |        111 |                                     fastrlock
import time:       157 |        267 |                                   fastrlock.rlock
import time:       124 |        124 |                                   cupy.cuda.memory_hook
import time:        88 |         88 |                                       cupy_backends.cuda.stream
import time:        95 |        183 |                                     cupy.cuda.graph
import time:       162 |        345 |                                   cupy.cuda.stream
import time:        79 |         79 |                                     cupy_backends.cuda.api._driver_enum
import time:       195 |        274 |                                   cupy_backends.cuda.api.driver
import time:        26 |         26 |                                   gc
import time:       520 |       1552 |                                 cupy.cuda.memory
import time:        74 |         74 |                                 cupy.exceptions
import time:       139 |       1764 |                               cupy._core.internal
import time:       110 |       1874 |                             cupy._core._carray
import time:       154 |        154 |                             cupy.cuda.texture
import time:       230 |       2256 |                           cupy.cuda.function
import time:        60 |         60 |                           cupy_backends.cuda.libs
import time:       158 |        158 |                           cupy_backends.cuda.libs.nvrtc
import time:       285 |       3963 |                         cupy.cuda.compiler
import time:        78 |         78 |                           cupy.cuda.memory_hooks.debug_print
import time:        82 |         82 |                           cupy.cuda.memory_hooks.line_profile
import time:       101 |        260 |                         cupy.cuda.memory_hooks
import time:       163 |        163 |                         cupy.cuda.pinned_memory
import time:        53 |         53 |                         cupy.cuda.profiler
import time:       101 |        101 |                           cupy.cuda.common
import time:      1172 |       1273 |                         cupy.cuda.cub
import time:        86 |         86 |                         cupy_backends.cuda.libs.nvtx
import time:       458 |        458 |                         cupy.cuda.thrust
import time:       258 |       6509 |                       cupy.cuda
import time:        49 |       6557 |                     cupy.cuda.device
import time:       156 |        156 |                       cupy._core._dtype
import time:       182 |        337 |                     cupy._core._scalar
import time:       207 |        207 |                       cupy._core._accelerator
import time:        93 |         93 |                       cupy._core._memory_range
import time:        53 |         53 |                       backports_abc
import time:       166 |        166 |                       cupy_backends.cuda.libs.cutensor
import time:        80 |         80 |                       cupy._core._fusion_thread_local
import time:       495 |       1091 |                     cupy._core._kernel
import time:        93 |         93 |                       cupy._core._ufuncs
import time:       347 |        440 |                     cupy._core._routines_manipulation
import time:       140 |        140 |                     cupy._core._routines_binary
import time:        99 |         99 |                         cupy._core._optimize_config
import time:        51 |         51 |                           backports_abc
import time:       339 |        390 |                         cupy._core._cub_reduction
import time:       272 |        759 |                       cupy._core._reduction
import time:       604 |       1363 |                     cupy._core._routines_math
import time:       311 |        311 |                     cupy._core._routines_indexing
import time:       194 |        194 |                     cupy._core._routines_linalg
import time:       211 |        211 |                     cupy._core._routines_logic
import time:       135 |        135 |                     cupy._core._routines_sorting
import time:       692 |        692 |                     cupy._core._routines_statistics
import time:       164 |        164 |                     cupy._core.dlpack
import time:        55 |         55 |                     backports_abc
import time:       118 |        118 |                     cupy._core.flags
import time:       945 |      12747 |                   cupy._core.core
import time:        49 |         49 |                     backports_abc
import time:        41 |         41 |                       backports_abc
import time:        45 |         45 |                         backports_abc
import time:       159 |        159 |                         cupy._core._fusion_interface
import time:       166 |        166 |                         cupy._core._fusion_variable
import time:        56 |         56 |                           cupy._core._codeblock
import time:       132 |        187 |                         cupy._core._fusion_op
import time:        57 |         57 |                         cupy._core._fusion_optimization
import time:       304 |        915 |                       cupy._core._fusion_trace
import time:       169 |        169 |                       cupy._core._fusion_kernel
import time:       215 |       1339 |                     cupy._core.new_fusion
import time:       389 |       1776 |                   cupy._core.fusion
import time:       136 |        136 |                   cupy._core.raw
import time:       220 |      14877 |                 cupy._core
import time:       209 |        209 |                   cupyx._rsqrt
import time:       109 |        109 |                   cupyx._runtime
import time:        44 |         44 |                   cupyx._scatter
import time:       118 |        118 |                             cupy._core._gufuncs
import time:        87 |         87 |                                 cupy.linalg._util
import time:        95 |        181 |                               cupy.linalg._decomposition
import time:        81 |        262 |                             cupy.linalg._solve
import time:       359 |        738 |                           cupy.linalg._product
import time:        71 |         71 |                           cupy.linalg._eigenvalue
import time:        88 |         88 |                           cupy.linalg._norms
import time:       105 |       1001 |                         cupy.linalg
import time:        44 |         44 |                                 cupyx.scipy.sparse._util
import time:        64 |         64 |                                 cupyx.scipy.sparse._sputils
import time:       107 |        107 |                                         scipy._lib._testutils
import time:        79 |        185 |                                       scipy._lib
import time:        68 |        253 |                                     scipy._lib.deprecation
import time:       172 |        172 |                                     scipy.__config__
import time:        53 |         53 |                                     scipy.version
import time:        50 |         50 |                                     scipy._distributor_init
import time:      1011 |       1011 |                                     scipy._lib._pep440
import time:       201 |        201 |                                       scipy._lib._ccallback_c
import time:       148 |        349 |                                     scipy._lib._ccallback
import time:      1490 |       3374 |                                   scipy
import time:       262 |        262 |                                       scipy._lib._util
import time:       123 |        384 |                                     scipy.sparse._sputils
import time:       238 |        622 |                                   scipy.sparse._base
import time:       148 |        148 |                                     scipy.sparse._sparsetools
import time:       158 |        158 |                                       scipy.sparse._data
import time:        86 |         86 |                                       scipy.sparse._index
import time:       211 |        454 |                                     scipy.sparse._compressed
import time:       129 |        730 |                                   scipy.sparse._csr
import time:        73 |         73 |                                   scipy.sparse._csc
import time:       331 |        331 |                                     scipy.sparse._csparsetools
import time:       124 |        454 |                                   scipy.sparse._lil
import time:       498 |        498 |                                   scipy.sparse._dok
import time:       129 |        129 |                                   scipy.sparse._coo
import time:        94 |         94 |                                   scipy.sparse._dia
import time:       106 |        106 |                                   scipy.sparse._bsr
import time:       100 |        100 |                                   scipy.sparse._construct
import time:        50 |         50 |                                   scipy.sparse._extract
import time:        57 |         57 |                                   scipy.sparse._matrix_io
import time:       204 |        204 |                                   scipy.sparse._arrays
import time:     22804 |      22804 |                                             scipy.sparse.linalg._isolve._iterative
import time:       360 |        360 |                                             scipy.sparse.linalg._interface
import time:       102 |        102 |                                             scipy.sparse.linalg._isolve.utils
import time:       538 |        538 |                                               scipy._lib.decorator
import time:       197 |        734 |                                             scipy._lib._threadsafety
import time:       988 |      24986 |                                           scipy.sparse.linalg._isolve.iterative
import time:       139 |        139 |                                           scipy.sparse.linalg._isolve.minres
import time:       394 |        394 |                                                   scipy.linalg._fblas
import time:        30 |         30 |                                                   scipy.linalg._cblas
import time:        19 |         19 |                                                   scipy.linalg._fblas_64
import time:       250 |        693 |                                                 scipy.linalg.blas
import time:       700 |        700 |                                                   scipy.linalg._flapack
import time:        32 |         32 |                                                   scipy.linalg._clapack
import time:        19 |         19 |                                                   scipy.linalg._flapack_64
import time:       731 |       1480 |                                                 scipy.linalg.lapack
import time:       193 |       2365 |                                               scipy.linalg._misc
import time:       297 |        297 |                                               scipy.linalg._cythonized_array_utils
import time:       154 |        154 |                                                   scipy.linalg._flinalg
import time:       124 |        277 |                                                 scipy.linalg._flinalg_py
import time:       257 |        257 |                                                 scipy.linalg._decomp
import time:       102 |        102 |                                                 scipy.linalg._decomp_svd
import time:       209 |        209 |                                                 scipy.linalg._solve_toeplitz
import time:       329 |       1172 |                                               scipy.linalg._basic
import time:        93 |         93 |                                               scipy.linalg._decomp_lu
import time:        85 |         85 |                                               scipy.linalg._decomp_ldl
import time:        74 |         74 |                                               scipy.linalg._decomp_cholesky
import time:       137 |        137 |                                               scipy.linalg._decomp_qr
import time:        91 |         91 |                                               scipy.linalg._decomp_qz
import time:       176 |        176 |                                               scipy.linalg._decomp_schur
import time:        65 |         65 |                                               scipy.linalg._decomp_polar
import time:       119 |        119 |                                                 scipy.linalg._special_matrices
import time:        87 |         87 |                                                 scipy.linalg._expm_frechet
import time:       237 |        237 |                                                   scipy.linalg._matfuncs_sqrtm_triu
import time:       123 |        360 |                                                 scipy.linalg._matfuncs_sqrtm
import time:      1086 |       1086 |                                                   scipy.linalg.cython_lapack
import time:       359 |        359 |                                                   scipy.linalg.cython_blas
import time:       318 |       1762 |                                                 scipy.linalg._matfuncs_expm
import time:       214 |       2539 |                                               scipy.linalg._matfuncs
import time:       139 |        139 |                                               scipy.linalg._solvers
import time:        67 |         67 |                                               scipy.linalg._procrustes
import time:       195 |        195 |                                               scipy.linalg._decomp_update
import time:        86 |         86 |                                               scipy.linalg._sketches
import time:        91 |         91 |                                               scipy.linalg._decomp_cossin
import time:        66 |         66 |                                               scipy.linalg.decomp
import time:        58 |         58 |                                               scipy.linalg.decomp_cholesky
import time:        56 |         56 |                                               scipy.linalg.decomp_lu
import time:        54 |         54 |                                               scipy.linalg.decomp_qr
import time:        54 |         54 |                                               scipy.linalg.decomp_svd
import time:        56 |         56 |                                               scipy.linalg.decomp_schur
import time:        58 |         58 |                                               scipy.linalg.basic
import time:        56 |         56 |                                               scipy.linalg.misc
import time:        59 |         59 |                                               scipy.linalg.special_matrices
import time:        57 |         57 |                                               scipy.linalg.flinalg
import time:        63 |         63 |                                               scipy.linalg.matfuncs
import time:       667 |       8961 |                                             scipy.linalg
import time:        95 |         95 |                                             scipy.sparse.linalg._isolve._gcrotmk
import time:       124 |       9179 |                                           scipy.sparse.linalg._isolve.lgmres
import time:        90 |         90 |                                           scipy.sparse.linalg._isolve.lsqr
import time:        81 |         81 |                                           scipy.sparse.linalg._isolve.lsmr
import time:        88 |         88 |                                           scipy.sparse.linalg._isolve.tfqmr
import time:       201 |      34760 |                                         scipy.sparse.linalg._isolve
import time:       156 |        156 |                                             scipy.sparse.linalg._dsolve._superlu
import time:        78 |         78 |                                               scikits
import time:        26 |        103 |                                             scikits.umfpack
import time:       220 |        478 |                                           scipy.sparse.linalg._dsolve.linsolve
import time:        91 |         91 |                                           scipy.sparse.linalg._dsolve._add_newdocs
import time:       123 |        690 |                                         scipy.sparse.linalg._dsolve
import time:       235 |        235 |                                               scipy.sparse.linalg._eigen.arpack._arpack
import time:       391 |        625 |                                             scipy.sparse.linalg._eigen.arpack.arpack
import time:       114 |        739 |                                           scipy.sparse.linalg._eigen.arpack
import time:       150 |        150 |                                             scipy.sparse.linalg._eigen.lobpcg.lobpcg
import time:       112 |        262 |                                           scipy.sparse.linalg._eigen.lobpcg
import time:       141 |        141 |                                           scipy.sparse.linalg._eigen._svds
import time:       147 |       1286 |                                         scipy.sparse.linalg._eigen
import time:        94 |         94 |                                             scipy.sparse.linalg._onenormest
import time:       172 |        266 |                                           scipy.sparse.linalg._expm_multiply
import time:       201 |        466 |                                         scipy.sparse.linalg._matfuncs
import time:        91 |         91 |                                         scipy.sparse.linalg._norm
import time:        65 |         65 |                                         scipy.sparse.linalg.isolve
import time:        60 |         60 |                                         scipy.sparse.linalg.dsolve
import time:        61 |         61 |                                         scipy.sparse.linalg.interface
import time:        57 |         57 |                                         scipy.sparse.linalg.eigen
import time:        55 |         55 |                                         scipy.sparse.linalg.matfuncs
import time:       256 |      37843 |                                       scipy.sparse.linalg
import time:       112 |      37954 |                                     scipy.sparse.csgraph._laplacian
import time:       157 |        157 |                                         scipy.sparse.csgraph._tools
