import time: self [us] | cumulative | imported package
import time:       121 |        121 |   _io
import time:        30 |         30 |   marshal
import time:       251 |        251 |   posix
import time:       479 |        880 | _frozen_importlib_external
import time:        47 |         47 |   time
import time:       172 |        219 | zipimport
import time:        40 |         40 |     _codecs
import time:       427 |        466 |   codecs
import time:       231 |        231 |   encodings.aliases
import time:       529 |       1225 | encodings
import time:        86 |         86 | encodings.utf_8
import time:        40 |         40 | _signal
import time:        20 |         20 |     _abc
import time:       119 |        138 |   abc
import time:       132 |        269 | io
import time:        22 |         22 |       _stat
import time:        94 |        115 |     stat
import time:       441 |        441 |     _collections_abc
import time:        70 |         70 |       genericpath
import time:       117 |        186 |     posixpath
import time:       363 |       1105 |   os
import time:        87 |         87 |   _sitebuiltins
import time:        53 |         53 |         itertools
import time:        63 |         63 |         keyword
import time:        29 |         29 |           _operator
import time:       132 |        161 |         operator
import time:        80 |         80 |         reprlib
import time:       262 |        262 |         _collections
import time:       401 |       1017 |       collections
import time:        82 |         82 |       collections.abc
import time:       154 |        154 |           types
import time:        27 |         27 |           _functools
import time:       244 |        424 |         functools
import time:       235 |        659 |       contextlib
import time:       343 |        343 |         enum
import time:        29 |         29 |           _sre
import time:       118 |        118 |             sre_constants
import time:       170 |        288 |           sre_parse
import time:       178 |        493 |         sre_compile
import time:        33 |         33 |         _locale
import time:        73 |         73 |         copyreg
import time:       270 |       1210 |       re
import time:       916 |       3882 |     typing
import time:       104 |        104 |     sphinx_jinja2_compat._installers
import time:        68 |         68 |       __future__
import time:        26 |         26 |         _string
import time:       356 |        381 |       string
import time:       134 |        134 |       markupsafe._speedups
import time:       215 |        795 |     markupsafe
import time:        30 |         30 |         errno
import time:        72 |         72 |         fnmatch
import time:        36 |         36 |             _struct
import time:       155 |        190 |           struct
import time:       113 |        113 |           _compat_pickle
import time:        47 |         47 |           _pickle
import time:        34 |         34 |               org
import time:        15 |         49 |             org.python
import time:         8 |         56 |           org.python.core
import time:       422 |        826 |         pickle
import time:       140 |        140 |           warnings
import time:        33 |         33 |             zlib
